SUBLOT,AREA,STEP,EQP,DATES,PACKAGE
Q26073235-11,Q06-08,焊线,3QHS3900,2026-07-24T14:47:34,QFNWB4*4-24L(P0.50T0.75)(1 block)
Q26073479-7,D01-14,焊线,3QHS3827,2026-07-24T13:17:01,SOP8(150mil)(12R)
Q26066421-14,D11-16,焊线,3QHS4000,2026-07-22T15:51:44,MISWB1.1*1.1-09L(P0.40T0.55)
Q26072260-6,C12-15,焊线,3QHS4144,2026-07-24T10:44:15,TSOT-23-6L
Q26073145-1,Q20-04,焊线,3QHS2002,2026-07-24T13:17:17,TSSOP8(8R)
Q26066966-3,C04-08,焊线,3QHS4189,2026-07-24T12:47:04,TSSOP16(173mil)(10R)
Q26072382-1,D19-14,焊线,3QHS121,2026-07-24T12:15:05,SSOP16
Q26063124-1,Q16-04,焊线,3QHS373,2026-07-24T13:04:28,TSSOP16
Q26066421-15,D05-08,焊线,3QHS3124,2026-07-24T13:44:49,MISWB1.1*1.1-09L(P0.40T0.55)
Q26061294-18,C05-02,焊线,3QHS4312,2026-07-24T14:49:39,DIP12/PP(350mil)(6R)
Q26067157-8,Q10-17,焊线,3QHS326,2026-07-24T13:13:08,DFNWB3*2-14L-C(P0.40T0.75)(1 block)
Q26073143-4,Q21-07,焊线,3QHS4033,2026-07-24T12:49:48,TSSOP8(8R)
Q26065869-2,C02-15,焊线,3QHS385,2026-07-24T14:49:13,TSSOP14
Q26073052-14,C01-14,焊线,3QHS3833,2026-07-24T08:50:01,SSOP24(150mil)
Q26073052-15,C01-07,焊线,3QHS3836,2026-07-24T08:48:56,SSOP24(150mil)
Q26073053-7,D03-13,焊线,3QHS3814,2026-07-24T13:44:04,SSOP24(150mil)
Q26064841-5,D22-2,焊线,3QHS4320,2026-07-24T14:45:54,MSOP8(118mil)(14R)
Q26066995-3,C09-12,焊线,3QHS4103,2026-07-24T10:42:37,SOP8(300mil)(5R)
Q26066101-1,D13-13,焊线,3QHS372,2026-07-24T08:28:14,SSOP16(150mil)(8R)
Q26067930-48,Q18-05,焊线,3QHS4223,2026-07-24T12:23:45,SOP28(300mil)(5R)
Q26071516-9,Q15-08,焊线,3QHS3075,2026-07-24T13:13:14,DFNWB1.2*1.6-04L-A(P0.60T0.55)
Q26075290-7,N1-15,焊线,2QHE62,2026-07-24T12:17:08,TO-252-2L(8R)
Q26062167-2,D15-04,焊线,3QHS4024,2026-07-24T09:39:29,MSOP8(8R)
Q26067030-9,D07-12,焊线,3QHS3764,2026-07-24T01:49:48,SOP8/PP(150mil)(12R)
Q26071360-10,D08-02,焊线,3QHS3984,2026-07-24T06:30:07,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26071199-2,Q12-03,焊线,3QHS3813,2026-07-24T03:10:25,TSSOP14
Q26066365-17,D19-05,焊线,3QHS3749,2026-07-24T09:14:33,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
Q26066365-19,D19-04,焊线,3QHS505,2026-07-24T09:16:22,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
Q26066365-20,D19-09,焊线,3QHS36,2026-07-24T09:40:37,DFNWB2*3-6L-SA(P0.50T0.75)(1 block)
Q26075363-1,N16-2,焊线,2QHB103,2026-07-24T12:09:37,TO-220F-C
Q26061143-27,Q17-11,焊线,3QHS4087,2026-07-24T13:55:32,TSSOP28/PP(173mil)(10R)
Q26055162-15,Q16-11,焊线,3QHS356,2026-07-24T13:11:38,TSSOP16
Q26067930-49,Q18-02,焊线,3QHS4253,2026-07-24T12:23:57,SOP28(300mil)(5R)
Q26071884-2,D16-07,焊线,3QHS3794,2026-07-24T12:43:35,DFNWB1*1.4-4L(P0.5T0.37)
Q26065610-1,Q16-02,焊线,3QHS300,2026-07-24T12:43:16,SOP8(150mil)(12R)
Q26072648-1,N3-7,焊线,3QHS6023,2026-07-24T14:56:18,PDFNWB3.3×3.3-8L-B(P0.65T0.75)
Q26072631-4,D06-11,焊线,3QHS3771,2026-07-24T13:45:15,QFNWB1.7*2-12L-C(P0.40T0.50)
Q26072890-5,Q19-09,焊线,3QHS155,2026-07-23T19:14:15,SOP8(150mil)(12R)
Q26074645-13-1,Q01-11,焊线,3QHS3955,2026-07-24T12:17:37,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26074645-13-2,Q08-02,焊线,3QHS3941,2026-07-24T12:25:19,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26067930-53,C17-08,焊线,3QHS4217,2026-07-24T12:20:40,SOP28(300mil)(5R)
Q26066723-3,D15-10,焊线,3QHS4030,2026-07-24T10:43:59,SOP8(8R)
Q26055162-13,Q14-08,焊线,3QHS3031,2026-07-24T10:44:12,TSSOP16
Q26073621-2,Q22-13,焊线,3QHS3777,2026-07-24T12:49:14,SOP8(8R)
Q26068335-13,D03-06,焊线,3QHS3853,2026-07-24T14:49:27,CSOP10(300mil)(5R)
Q26066293-13,D02-10,焊线,3QHS3825,2026-07-24T09:19:49,SOP8(150mil)(12R)
Q26066572-4,C10-01,焊线,3QHS4105,2026-07-24T12:43:55,SSOP14/PP(150mil)(8R)
Q26079283-1,M1-8,焊线,2QHB94,2026-07-22T20:40:21,MIP3+P
Q26067921-1,C15-08,焊线,3QHS4239,2026-07-24T09:46:40,SOP8(150mil)(12R)
Q26071889-2,Q03-18,焊线,3QHS3120,2026-07-24T13:53:21,DFNWB1*1.4-4L(P0.5T0.37)
Q26074791-5,D04-08,焊线,3QHS3781,2026-07-24T09:07:01,SSOP10(150mil)(8R)
Q26072878-17,D04-07,焊线,3QHS3761,2026-07-24T09:19:31,TSSOP28
Q26061851-15,Q06-19,焊线,3QHS4205,2026-07-24T12:43:40,DFNWB2.2*2.9-6L-NA(P0.50T0.55)(2 block)
Q26072915-3,C01-05,焊线,3QHS3844,2026-07-24T08:47:40,SOP8/PP(150mil)(12R)
Q26066748-2,Q08-10,焊线,3QHS3940,2026-07-24T11:17:40,DFNWB2*2-8L-W(P0.50T0.75)(1 block)
Q26067554-13,D03-03,焊线,3QHS3854,2026-07-24T08:50:12,SOP8/PP(150mil)(12R)
Q26073679-22,Q17-05,焊线,3QHS218,2026-07-24T12:16:51,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26067930-55,Q18-14,焊线,3QHS4088,2026-07-24T12:41:59,SOP28(300mil)(5R)
Q26074645-12-2,Q08-06,焊线,3QHS3929,2026-07-24T12:17:41,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26067543-1,C11-06,焊线,3QHS4136,2026-07-24T09:58:57,SOP8/PP(150mil)(12R)
Q26073824-25,D07-04,焊线,3QHS3804,2026-07-24T14:49:01,SOP14(9R)
Q26067336-1,D23-7,焊线,2QHE87,2026-07-24T13:30:04,DFNWB3*3-08L-M(P0.65T0.75)(1 block)
Q26072621-34,Q09-08,焊线,3QHS703,2026-07-24T13:40:54,DFNWB1.45*1-6L-G(P0.50T0.55)
Q26068665-41,C13-11,焊线,3QHS4168,2026-07-24T11:55:10,DFNWB2*2-8L-AK(P0.50T0.75)(1 block)
Q26062207-1,D12-01,焊线,3QHS3104,2026-07-24T14:55:56,MSOP8(8R)
Q26054940-7,C13-04,焊线,3QHS4160,2026-07-24T11:55:36,TSSOP28/PP(173mil)(10R)
Q26061851-14,Q07-14,焊线,3QHS4078,2026-07-24T12:17:30,DFNWB2.2*2.9-6L-NA(P0.50T0.55)(2 block)
Q26066747-3,Q06-02,焊线,3QHS3904,2026-07-24T12:58:35,DFNWB2*2-8L-W(P0.50T0.75)(1 block)
Q26072621-32,D07-08,焊线,3QHS3774,2026-07-24T13:19:01,DFNWB1.45*1-6L-G(P0.50T0.55)
Q26074645-12-3,Q06-03,焊线,3QHS3901,2026-07-24T11:17:34,DFNWB3*3-10L-B(P0.50T0.75)(1 block)
Q26071307-19,Q04-13,焊线,3QHS4052,2026-07-24T13:12:56,DFNWB1.4*1-8L-C(P0.35T0.37)
Q26067868-7,Q20-05,焊线,3QHS3092,2026-07-24T14:46:08,SOP8(150mil)(12R)
Q26073824-21,Q12-01,焊线,3QHS2685,2026-07-24T13:49:21,SOP14(9R)
Q26073824-24,C06-10,焊线,3QHS3927,2026-07-24T14:50:06,SOP14(9R)
Q26072450-1,C10-04,焊线,3QHS4119,2026-07-24T10:02:45,SOP14(9R)
Q26054843-5,Q16-13,焊线,3QHS76,2026-07-24T13:52:10,SOP8(150mil)(12R)
Q26065180-4,D13-07,焊线,3QHS4001,2026-07-24T14:50:19,TSOT-23-6L
Q26066995-14,C13-15,焊线,3QHS4164,2026-07-24T07:19:48,SOP8(300mil)(5R)
Q26074330-1,N1-14,焊线,2QHE63,2026-07-24T14:56:03,TO-252-2L(8R)
Q26061316-3,Q01-10,焊线,3QHS3966,2026-07-24T13:40:44,QFNWB3*3-16L(P0.50T0.75)(1 block)
Q26067102-1,C03-03,焊线,3QHS4192,2026-07-24T13:14:47,DFNWB3*3-8L-NF(P0.65T0.85)(1 block)(wettable)
Q26068275-10,Q05-18,焊线,3QHS766,2026-07-24T14:14:39,DFNWB2*2-06L-J(P0.65T0.75)(1 block)
Q26072411-14,Q03-02,焊线,3QHS3891,2026-07-24T14:10:54,DFNWB2*2-08L-L(P0.50T0.55)(1 block)
Q26073824-22,D07-06,焊线,3QHS3812,2026-07-24T13:43:42,SOP14(9R)
Q26054940-9,C08-12,焊线,3QHS4308,2026-07-24T12:19:34,TSSOP28/PP(173mil)(10R)
Q26056363-7,Q22-03,焊线,3QHS077,2026-07-23T22:50:46,DFNWB2*2-06L-AB(P0.65T0.75)(1 block)
Q26056401-2,Q01-16,焊线,3QHS4038,2026-07-24T14:47:13,DFNWB1*1-4L-J(P0.65T0.37)
Q26073653-15,C09-07,焊线,3QHS4097,2026-07-24T13:14:56,QFNWB1.6*1.6-14L-NA(P0.35T0.55)
Q26066748-3,Q01-02,焊线,3QHS3885,2026-07-24T13:40:49,DFNWB2*2-8L-W(P0.50T0.75)(1 block)
Q26067102-2,C11-09,焊线,3QHS4139,2026-07-24T14:51:02,DFNWB3*3-8L-NF(P0.65T0.85)(1 block)(wettable)
Q26068792-1,Q03-10,焊线,3QHS3874,2026-07-24T13:13:18,QFNWB3.5*3.5-20L-E(P0.50T0.75)(1 block)
Q26067454-1,C04-06,焊线,3QHS4117,2026-07-24T14:52:19,TSSOP16(173mil)(10R)
Q26066923-10,Q10-04,焊线,3QHS2686,2026-07-24T12:15:59,DFNWB3*3-08L-ND(P0.65T0.75)(1 block)
Q26067398-26,D20-11,焊线,3QHS3738,2026-07-24T13:16:23,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26072073-3,N3-10,焊线,3QHS6019,2026-07-24T14:51:16,PDFNWB3.3×3.3-8L(P0.65T0.75)
Q26073821-30,C07-02,焊线,3QHS3848,2026-07-24T13:02:54,SOP16(150mil)(12R)
Q26073821-31,C06-03,焊线,3QHS3218,2026-07-24T13:04:19,SOP16(150mil)(12R)
Q26067398-25,D19-01,焊线,3QHS119,2026-07-24T11:17:50,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26063124-2,D13-02,焊线,3QHS3745,2026-07-24T13:15:31,TSSOP16
Q26074062-3,D12-08,焊线,3QHS3131,2026-07-24T13:44:37,SOP8(150mil)(12R)
Q26073248-9,C09-02,焊线,3QHS4090,2026-07-24T13:16:32,SOP8/PP(150mil)(12R)
Q26066923-11,Q07-02,焊线,3QHS3944,2026-07-24T14:10:58,DFNWB3*3-08L-ND(P0.65T0.75)(1 block)
Q26068335-9,C07-07,焊线,3QHS579,2026-07-24T13:15:10,CSOP10(300mil)(5R)
Q26073317-17,Q03-08,焊线,3QHS3884,2026-07-24T11:17:45,QFNWB3*3-16L(P0.50T0.75)(1 block)
Q26069C47-1,S01-04,焊线,3QHS3926,2026-07-24T12:52:33,SOP8/PP(150mil)(12R)
Q26059542-1,Q17-09,焊线,3QHS4248,2026-07-24T09:28:28,TSSOP16/PP(173mil)(10R)
Q26067399-11,D16-14,焊线,3QHS742,2026-07-24T14:47:30,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26065337-11,Q15-15,焊线,3QHS695,2026-07-24T14:46:23,SOP8(150mil)(12R)
Q26063603-19,C17-10,焊线,3QHS4212,2026-07-24T09:24:18,SOP16(150mil)(12R)
Q26071599-7,N19-6,焊线,2QHB67,2026-07-24T10:20:25,PDFN5×6-8L(12R)
Q26067401-10,D19-02,焊线,3QHS4015,2026-07-24T09:17:07,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26067401-11,D18-03,焊线,3QHS510,2026-07-24T14:47:26,DFNWB2.5*1-10L-H(P0.50T0.50)
Q26079446-1,S01-04,焊线,3QHS3926,2026-07-24T07:37:17,NEPDFNWB3*3-8L-NA(P0.65T0.75)
Q26079485-1,S01-08,焊线,3QHS4011,2026-07-24T10:30:06,QFNWB4*4-24L-M(P0.50T0.75)(1 block)
