PACKAGE,次数,TASK_TYPE分布,样例SUBLOT
SSOP16/PP(150mil)(8R)(P0.5),6,DIE_TO_OVEN:1; WIRE_TO_NITROGEN:1; WIRE_TO_OPTICAL:4,Q26067845-2 | Q26066042-18 | Q26066042-14
SSOP16/PP(150mil)(8R)(P0.5A),4,WIRE_TO_NITROGEN:1; WIRE_TO_OPTICAL:3,Q26064709-12 | Q26064708-1 | Q26064708-10
SSOP20(150mil),1,STAGING_TO_WIRE:1,Q26054432-3-8
SSOP24(150mil),7,STAGING_TO_WIRE:3; WIRE_TO_GATE:4,Q26073052-9 | Q26073052-6 | Q26073052-7
SSOP24(209MIL),6,STAGING_TO_WIRE:5; WIRE_TO_GATE:1,Q26072242-2 | Q26072242-12 | Q26072242-13
SSOP24/PP(150mil)(9R)(P0.65),1,WIRE_TO_NITROGEN:1,Q26079294-1
SSOP9(150mil)(8R),1,STAGING_TO_WIRE:1,Q26062443-2
TO-220F-C,2,DIE_TO_WIRE_STAGING:1; STAGING_TO_WIRE:1,Q26075363-3 | Q26075363-1
TO-247APlus-4L,13,DIE_TO_WIRE_STAGING:13,Q26079458-1 | Q26079468-1 | Q26079462-1
TOLLB-8L(6R),3,WIRE_TO_NITROGEN:3,Q26066327-2 | Q26066328-2 | Q26066330-2
TOLT-16L,3,DIE_TO_WIRE_STAGING:3,Q26079X03-1 | Q26079X02-1 | Q26079X01-1
TSOT-23-6L,5,DIE_TO_OVEN:1; STAGING_TO_WIRE:4,Q26060037-1 | Q26072260-10 | Q26065180-3
TSSOP14,4,DIE_TO_OVEN:1; STAGING_TO_WIRE:2; WIRE_TO_GATE:1,Q26071427-4 | Q26065869-1 | Q26065869-2
TSSOP14(173mil)(10R),4,DIE_TO_OVEN:1; STAGING_TO_WIRE:2; WIRE_TO_OPTICAL:1,Q26072355-14 | Q26067148-18 | Q26066607-3
TSSOP16,6,STAGING_TO_WIRE:4; WIRE_TO_GATE:2,Q26055162-6 | Q26055162-8 | Q26063124-1
TSSOP16(173mil)(10R),12,DIE_TO_OVEN:1; STAGING_TO_WIRE:4; WIRE_TO_GATE:2; WIRE_TO_OPTICAL:5,Q26066966-28 | Q26071246-2 | Q26071246-1
TSSOP16/PP,2,DIE_TO_OVEN:1; STAGING_TO_WIRE:1,Q26067752-7 | Q26067751-2
TSSOP16/PP(173mil)(10R),4,DIE_TO_OVEN:1; STAGING_TO_WIRE:2; WIRE_TO_GATE:1,Q26062192-20 | Q26031361-9 | Q26062191-14
TSSOP20(173mil)(10R),1,STAGING_TO_WIRE:1,Q26066657-2
TSSOP24(173mil)(10R),1,WIRE_TO_GATE:1,Q26066245-3
TSSOP28,4,STAGING_TO_WIRE:2; WIRE_TO_GATE:2,Q26063148-4 | Q26063148-5 | Q26072878-6
TSSOP28/PP,1,WIRE_TO_GATE:1,Q26064417-2
TSSOP28/PP(173mil)(10R),5,DIE_TO_OVEN:1; STAGING_TO_WIRE:3; WIRE_TO_GATE:1,Q26054939-3 | Q26064678-8 | Q26061143-27
TSSOP38,2,STAGING_TO_WIRE:2,Q26061273-6 | Q26062330-3
TSSOP8(8R),8,DIE_TO_OVEN:1; STAGING_TO_WIRE:5; WIRE_TO_NITROGEN:2,Q26073675-14 | Q26073674-8 | Q26073676-1
