TASK_TYPE,SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
WIRE_TO_GATE,Q26071059-15,D01-08,3QHS3209,焊线关卡,2026-07-22T22:37:43,SSOP24(150mil)
WIRE_TO_GATE,Q26067871-3,N6-5,3QHS3757,焊线关卡,2026-07-24T14:33:14,TO-252-2L(6R)
WIRE_TO_OPTICAL,Q26066042-18,C01-15,3QHS3835,三光检验,2026-07-22T22:35:53,SSOP16/PP(150mil)(8R)(P0.5)
WIRE_TO_OPTICAL,Q26072774-8,N12-9,2QHB109,三光检验,2026-07-24T06:30:05,TO-263-7L(2R)
WIRE_TO_OPTICAL,Q26071759-1,N17-5,2QHB82,三光检验,2026-07-18T01:50:53,TOLL-8L(6R)
WIRE_TO_OPTICAL,Q26066429-4,C04-14,3QHS4275,三光检验,2026-07-24T10:11:06,SOP8(150mil)(12R)
WIRE_TO_OPTICAL,Q26066042-14,C01-03,3QHS3843,三光检验,2026-07-24T01:08:06,SSOP16/PP(150mil)(8R)(P0.5)
WIRE_TO_OPTICAL,Q26071629-4,C11-06,3QHS4136,三光检验,2026-07-24T01:43:06,SOP8/PP(150mil)(12R)
WIRE_TO_OPTICAL,Q26067924-6,C16-06,3QHS4267,三光检验,2026-07-24T07:21:57,SOP14(9R)
WIRE_TO_OPTICAL,Q26067490-3,C01-11,3QHS3924,三光检验,2026-07-23T06:26:10,SSOP14/PP(150mil)(8R)
WIRE_TO_OPTICAL,Q26067923-6-1,C07-15,3QHS4291,三光检验,2026-07-24T12:19:04,SOP16(300mil)(5R)
WIRE_TO_OPTICAL,Q26065892-5,C05-10,3QHS4187,三光检验,2026-07-24T07:21:25,SOP8(150mil)(12R)
WIRE_TO_OPTICAL,Q26064709-12,C16-04,3QHS4260,三光检验,2026-07-21T22:49:43,SSOP16/PP(150mil)(8R)(P0.5A)
WIRE_TO_OPTICAL,Q26072621-24,D07-08,3QHS3774,三光检验,2026-07-24T06:40:17,DFNWB1.45*1-6L-G(P0.50T0.55)
WIRE_TO_OPTICAL,Q26072621-25,Q09-08,3QHS703,三光检验,2026-07-24T02:59:24,DFNWB1.45*1-6L-G(P0.50T0.55)
WIRE_TO_OPTICAL,Q26067490-9,C01-12,3QHS3922,三光检验,2026-07-24T07:25:52,SSOP14/PP(150mil)(8R)
